loanAppID,reasonID,
1,10,
2,10,
3,8,
64,2,
65,1,
66,14,
67,1,
68,1,
69,1,
70,1,
71,6,
71,2,
72,6,
73,8,
74,7,
74,2,
75,2,
76,2,
77,2,
78,7,
79,2,
80,8,
81,2,
82,7,
87,13,
88,7,
89,6,
90,7,
91,2,
95,3,
96,14,
97,9,
98,2,
99,2,
100,2,
102,11,
103,8,
4,1,
5,10,
6,10,
7,10,
8,8,
9,10,
10,12,
11,8,
12,6,
12,1,
13,8,
14,6,
14,2,
15,9,
16,1,
17,7,
18,1,
19,1,
20,7,
21,7,
21,16,
22,1,
23,3,
25,3,
26,19,
27,9,
28,7,
28,1,
29,7,
30,6,
31,7,
32,2,
33,6,
34,6,
35,4,
38,8,
24,4,
36,7,
37,6,
39,1,
40,1,
41,2,
42,17,
43,6,
44,2,
45,7,
45,1,
46,2,
47,7,
48,8,
49,6,
50,2,
51,7,
52,6,
53,6,
54,6,
55,1,
56,10,
58,4,
59,7,
60,11,
60,2,
61,7,
57,10,
62,6,
63,9,
83,11,
84,2,
92,11,
93,6,
94,6,
101,4,
85,6,
86,2,
104,10,
